NAME,HT,WT,CLASS,HOMETOWN,STATE,SCHOOL,GPA,CRIMES,INJURIES,SCHOOLID,MAJOR
Ja'merez Bowen,76,310,JR,Cleveland,OH,Indiana,3.02,0,6,879144315,Electrical Engineering
Coy Cronk,77,305,SO,Lafayette,IN,Indiana,3.49,0,1,893367051,Communication
Michael McGinnis,74,230,JR,Allentown,NJ,Indiana,2.29,0,12,689593337,Economics
Grayson Stover,78,305,FR,Spring Hill,FL,Indiana,2.96,0,0,929474043,Communication
Harry Crider,76,290,FR,Columbus,IN,Indiana,3.29,0,1,753353604,History
Danny Friend,77,260,SR,Morris,IL,Indiana,3.6,0,3,760208338,Exercise Science
Jack Trainor,74,310,SO,Roswell,GA,Indiana,3.56,0,1,931298351,Communication
Nick Ramacca,74,290,SO,Bohemia,NY,Indiana,3.49,0,3,563680146,Criminal Justice
Brandon Knight,77,305,JR,Noblesville,IN,Indiana,3.11,0,2,644984655,Labor Studies
Ryan Smith,77,290,FR,Loveland,OH,Indiana,3.23,0,2,791960734,Dance
Tristen Watts,74,230,FR,Evansville,IN,Indiana,2.89,1,3,193341706,Communication
Hunter Littlejohn,75,305,SO,Powell,OH,Indiana,2.74,0,5,821232189,Criminal Justice
Gavin Everett,75,245,SO,Center Grove,IN,Indiana,3.34,0,4,187650523,Exercise Science
Delroy Baker,78,305,JR,Ocala,FL,Indiana,3.81,1,0,534977848,English 
Simon Stepaniak,76,305,SO,Hamilton,OH,Indiana,2.76,0,1,616157266,Sports Management
Tyler Knight,76,290,FR,Clearwater,FL,Indiana,4,0,3,23642947,Theater
Nate Hoff,74,310,SR,Solon,OH,Indiana,2.64,0,5,979705156,Computer Engineering
Sam Garvin,75,287,FR,Fishers,IN,Indiana,2.87,0,2,218528186,Sports Management
Wes Martin,75,310,JR,West Milton,OH,Indiana,2.91,2,1,914673952,Exercise Science
Caleb Jones,80,370,FR,Indianapolis,IN,Indiana,3.25,0,0,406805075,Sociology
Britt Beery,78,270,FR,Carmel,IN,Indiana,2.22,1,3,439289718,Communication
Ian Thomas,77,248,SR,Baltimore,MD,Indiana,3.19,0,5,106118764,Creative Writing
Ty Fryfogle,74,205,FR,Lucedale,MS,Indiana,2.7,0,6,403327095,Criminal Justice
Logan Justus,71,180,SO,McCordsville,IN,Indiana,3.86,0,0,78420739,Communication
Austin Dorris,77,255,SO,Shadyside,OH,Indiana,2.61,0,3,663399101,Computer Science
Jonah Morris,76,200,FR,Akron,OH,Indiana,3.55,0,6,124809480,Psychology
Ryan Watercutter,74,228,JR,Fort Wayne,IN,Indiana,3.09,0,3,191222531,Political Science
Joseph Gedeon,75,200,JR,Columbus,IN,Indiana,4,0,0,274997734,Nutrition
Peyton Hendershot,76,240,FR,North Salem,IN,Indiana,3.16,0,6,67792672,Exercise Science
Michael Ziemba,75,245,FR,Lake Mary,FL,Indiana,3.69,1,2,953246837,Sports Management
Shaun Bonner,75,250,FR,Moultrie,GA,Indiana,2.38,0,8,652845197,Civil Engineering
Phil Benker,74,205,FR,Jacksonville,FL,Indiana,2.77,0,6,587502639,English 
Juan Harris,75,360,FR,Chicago,IL,Indiana,3.45,1,3,485818037,Exercise Science
Jared Smolar,71,225,SO,Valparaiso,IN,Indiana,3.49,0,0,652971388,Geography
Jacob Robinson,76,285,JR,Westfield,IN,Indiana,2.61,0,5,412854860,Civil Engineering
Alfred Bryant,74,250,FR,Fresno,TX,Indiana,3.49,0,3,533181438,Sports Management
Griffin Oakes,70,198,SR,Greenwood,IN,Indiana,2.94,0,0,116828608,Sports Management
LeShaun Minor Jr.,75,300,FR,Indianapolis,IN,Indiana,2.57,0,4,911534682,Mechanical Engineering
Stephen Yaffe,71,185,FR,Tampa,FL,Indiana,3.08,0,0,353445642,Gender Studies
Haydon Whitehead,74,205,SO,--,--,Indiana,3.98,0,0,619323166,Chemical Engineering
Brandon Wilson,75,255,SO,Winter Garden,FL,Indiana,2.46,0,8,670083347,Biology
Derrian Meminger,76,290,JR,Sparta,GA,Indiana,4,0,3,80480703,Economics
Dan Godsil,76,230,JR,Ottawa,OH,Indiana,3.59,0,3,844094786,Chemical Engineering
Tramar Reece,76,230,FR,Clearwater,FL,Indiana,3.11,0,2,377679371,Exercise Science
Jerome Johnson,75,295,FR,Bassfield,MS,Indiana,3.55,0,3,112770256,Criminology
Nathanael Snyder,73,185,FR,Greenwood,IN,Indiana,3.23,1,0,206528634,Business
Allen Stallings IV,74,240,SO,Maywood,IL,Indiana,2.37,0,6,610376019,Creative Writing
Jaylen Dunlap,73,190,SR,Chicago,IL,Illinois,2.15,0,3,683319088,Business
Reggie Corbin,70,190,SO,Upper Marlboro,MD,Illinois,2.3,0,8,725803561,Biology
Julian Jones,74,220,JR,Atlanta,GA,Illinois,2.16,2,14,610523275,Labor Studies
Jeff George Jr.,75,215,SO,Indianapolis,IN,Illinois,3.76,0,1,984962682,Economics
Del'Shawn Phillips,74,220,JR,Highland Park,MI,Illinois,1.91,0,14,959029025,Public Policy
Ricky Smalling,73,205,FR,Chicago,IL,Illinois,3.2,0,4,456298724,Sports Management
Bennett Williams,73,200,FR,Campbell,CA,Illinois,3.41,1,2,34028744,Sports Management
James Crawford,74,235,SR,Deerfield Beach,FL,Illinois,2.75,0,2,89165960,Finance
Carmoni Green,73,190,FR,Miami,FL,Illinois,2.8,1,6,514022293,Sports Management
Tony Adams,73,190,FR,Belleville,IL,Illinois,2.99,0,7,77019448,Biology
Cam Miller,73,215,FR,Evergreen Park,IL,Illinois,2.64,1,1,4016590,Economics
Chayce Crouch,76,230,JR,Newark,OH,Illinois,3.11,0,2,305056547,History
Stanley Green,71,195,SO,East Saint Louis,IL,Illinois,2.99,0,7,628952180,Communication
Nate Hobbs,73,180,FR,Louisville,KY,Illinois,2.54,0,6,239755901,Sports Management
Dominic Thieman,75,190,SO,Fort Lauderdale,FL,Illinois,2.94,0,7,133701889,Communication
Dele Harding,73,235,SO,Elkton,MD,Illinois,2.37,0,11,876769245,Exercise Science
Sam Mays,75,200,JR,Missouri City,TX,Illinois,2.48,0,5,979498895,Criminal Justice
James Knight,70,205,FR,East Saint Louis,IL,Illinois,2.94,1,2,395703241,Animal Science
Cam Thomas,74,190,FR,Chicago Heights,IL,Illinois,2.74,0,3,850285787,Nutrition
Malik Turner,75,200,SR,Springfield,IL,Illinois,2.98,0,7,421571309,Sports Management
Chris James,71,195,JR,Orange,TX,Illinois,3.25,0,4,259350357,Communication
Charlie Reinkemeyer,71,175,FR,Lake Forest,IL,Illinois,3.63,0,3,426213843,Music
Caleb Reams,74,250,SO,Gurnee,IL,Illinois,3.07,0,4,381432865,Sports Management
Blake Hayes,78,230,FR,--,--,Illinois,3.8,0,0,605281146,Biology
Trenard Davis,73,190,SO,Boynton Beach,FL,Illinois,2.83,1,8,273348455,Music
Connor Kelly,74,190,FR,Chicago,IL,Illinois,3.09,0,3,48497121,ITI
James McCourt,73,220,FR,Parkland,FL,Illinois,3.38,0,0,77982210,ITI
Kendall Smith,73,185,FR,Bolingbrook,IL,Illinois,3.43,0,11,636175628,Criminal Justice
Mike Dudek,71,185,JR,Naperville,IL,Illinois,2.45,0,2,833671380,Economics
Louis Dorsey,78,225,FR,Jacksonville,FL,Illinois,2.23,0,9,718215305,Communication
Harvey Clayton Jr.,74,215,FR,Miami,FL,Illinois,3.57,1,4,199179177,Criminology
Ra'Von Bonner,71,210,FR,Cincinnati,OH,Illinois,2.63,0,8,480522021,Gender Studies
Patrick Nelson,74,210,SO,Chicago,IL,Illinois,4,2,5,511681505,Communication
Kendrick Foster,69,190,SR,Peoria,IL,Illinois,1.5,0,11,434021437,English 
Conner Lillig,70,180,FR,Oak Park,IL,Illinois,2.49,2,6,11639870,Labor Studies
Frank Sumpter,70,185,SO,Cleveland,OH,Illinois,3.32,0,6,229808371,Electrical Engineering
Dawson DeGroot,73,190,FR,Fort Myers,FL,Illinois,3.19,0,4,206519735,Labor Studies
Dre Brown,71,215,SO,DeKalb,IL,Illinois,2.88,0,6,299463879,Criminal Justice
Shawn McPartland,70,175,FR,Lemont,IL,Illinois,2.94,0,7,529792908,Economics
Mike Epstein,73,195,FR,Fort Lauderdale,FL,Illinois,2.53,0,10,522886251,Theater
Evan Jones,74,190,FR,Atlanta,GA,Illinois,3.18,0,5,150632370,Theater
Ahmari Hayes,75,190,SR,Davis,CA,Illinois,3.12,0,5,251528348,Mechanical Engineering
Nolan Bernat,70,190,SO,Bartlett,IL,Illinois,2.95,0,4,256984168,Finance
Christian Bobak,73,200,FR,Hinsdale,IL,Illinois,3.43,0,8,2282503,Economics
Julian Hylton,73,210,JR,Tinley Park,IL,Illinois,3.21,0,6,793373203,Labor Studies
Cameron Watkins,73,190,SO,Nashville,TN,Illinois,2.72,0,2,499101707,Sports Management
Justice Williams,75,220,SO,Frisco,TX,Illinois,2.01,0,13,237368284,Economics
Tre Watson,74,235,JR,Tampa,FL,Illinois,2.32,0,11,828137019,Communication
Christion Abercrombie,73,230,FR,Atlanta,GA,Illinois,2.99,0,4,265748756,Communication
Jake Hansen,74,230,SO,Tarpon Springs,FL,Illinois,3.11,0,12,977948200,Gender Studies
Austin Roberts,74,245,JR,Rice Lake,WI,Illinois,1.74,0,7,821464523,Labor Studies
Bryce Baringer,75,195,FR,Waterford,MI,Illinois,3.89,1,0,463106914,Economics
Zac Holman,73,190,JR,--,--,Illinois,2.8,1,8,308018520,Exercise Science
Brandon Roberts,75,250,SR,Peoria,IL,Illinois,2.8,1,11,604873853,Music
Nathan Echard,74,230,SR,Eureka,MO,Illinois,3.66,0,5,840047177,Creative Writing
Ryan Tucker,75,200,JR,Chicago,IL,Illinois,3.93,1,0,229600460,Public Policy
Jimmy Marchese,74,220,SO,Vernon Hills,IL,Illinois,2.3,0,13,453338398,Communication
Michael Marchese,75,190,FR,Vernon Hills,IL,Illinois,3.52,0,5,546429729,Economics
Chase McLaughlin,73,180,JR,Cypress,TX,Illinois,3.4,0,0,507759683,Sports Management
Drew Murtaugh,75,225,FR,Crystal Lake,IL,Illinois,2.63,0,9,117376420,Nutrition
Henry McGrew,75,245,JR,Overland Park,KS,Illinois,2.31,0,5,503524528,Communication
Alec McEachern,73,215,FR,Plainfield,IL,Illinois,3.2,0,7,727929847,Labor Studies
Sean Adesanya,75,250,JR,Rahway,NJ,Illinois,2.39,0,4,726826305,Mechanical Engineering
Kevin Hinders,77,235,FR,CHAMPAIGN,IL,Illinois,3.37,0,3,343865012,Electrical Engineering
Sean Coghlan,73,215,FR,Chicago,IL,Illinois,2.62,0,13,861840564,English 
Ayo Shogbonyo,74,230,FR,Arlington,TX,Illinois,1.87,0,13,374876563,Economics
Adam Solomon,78,310,SO,Indianapolis,IN,Illinois,3.43,0,1,686254291,Communication
Nick Allegretti,76,320,JR,Frankfort,IL,Illinois,2.47,0,3,391061812,Psychology
Kendrick Green,76,300,FR,Peoria,IL,Illinois,2.63,0,6,662335555,Exercise Science
Marc Mondesir,74,220,FR,Chicago,IL,Illinois,2.18,1,10,152622622,Economics
Jamal Milan,75,300,SO,Chicago,IL,Illinois,2.79,0,3,719684209,Sports Management
Ethan Tabel,73,220,FR,Barrington,IL,Illinois,4,0,1,164917424,Labor Studies
Sean Mills,75,215,FR,Metuchen,NJ,Illinois,3.29,2,2,483629629,Nutrition
Alex Palczewski,78,290,FR,Mount Prospect,IL,Illinois,2.65,1,4,70798408,Biology
Doug Kramer,74,295,FR,Hinsdale,IL,Illinois,3.55,0,0,195036813,Economics
Jordan Fagan,78,290,SR,Chula Vista,CA,Illinois,3.14,1,3,965916998,Sports Management
Christian DiLauro,77,300,SR,Uniontown,OH,Illinois,3.52,0,1,645708804,Political Science
Jake Stover,75,295,FR,Chicago,IL,Illinois,2.9,0,2,57314068,ITI
Zeke Martin,77,300,SO,Medina,OH,Illinois,3.46,1,3,338113403,Finance
Gabe Megginson,77,305,SO,Jacksonville,IL,Illinois,3.08,0,1,350172214,Animal Science
Jake Cerny,77,305,FR,Traverse City,MI,Illinois,3.77,0,0,974501893,Geography
Andrew Trainer,79,280,FR,Alexandria,VA,Illinois,3.1,2,3,975762830,Exercise Science
Kurt Gavin,76,300,FR,Mokena,IL,Illinois,3.16,0,2,192788407,Communication
Larry Boyd,78,340,FR,--,--,Illinois,2.39,2,3,833049855,Electrical Engineering
Vederian Lowe,77,340,FR,Rockford,IL,Illinois,2.41,0,0,320341357,Finance
Keith Jones,73,160,FR,Chicago,IL,Illinois,2.45,2,5,812182495,Sports Management
Griffin Palmer,77,225,FR,St. Charles,MO,Illinois,2.97,0,6,205303498,Gender Studies
William DuPont,73,185,FR,--,--,Illinois,3,0,4,778217094,Mechanical Engineering
Bobby Walker,76,230,SO,Golf,IL,Illinois,3.73,0,6,967641682,Psychology
James Bartholomew,68,165,FR,Hilton Head Island,SC,Illinois,3.05,0,7,988255372,Economics
Brandon Jones,77,240,FR,Columbia,MO,Illinois,2.5,1,11,222912030,Public Policy
Alex Pihlstrom,78,235,FR,Glen Ellyn,IL,Illinois,3.6,1,4,541539937,Sports Management
Lere Oladipo,75,265,FR,Huntley,IL,Illinois,2.75,0,4,682734929,Labor Studies
Jamal Woods,74,265,FR,Hueytown,AL,Illinois,3.38,1,0,709812140,History
Isaiah Gay,75,215,FR,Nashville,NC,Illinois,3.18,0,5,236805534,Economics
Tito Odenigbo,75,300,JR,Centerville,OH,Illinois,2.8,0,2,710466005,Labor Studies
Kenyon Jackson,73,290,SO,Little Rock,AR,Illinois,2.01,0,6,31346060,Chemical Engineering
Tymir Oliver,76,285,SO,Sharon Hill,PA,Illinois,2.27,0,6,782519031,Theater
Bobby Roundtree,77,245,FR,Largo,FL,Illinois,4,0,3,200208717,Public Policy
Deon Pate,75,280,FR,Jacksonville,FL,Illinois,3.69,1,2,122676984,Communication
Owen Carney Jr.,75,240,FR,Miami,FL,Illinois,2.79,0,6,267701492,Nutrition
Kekoa Crawford,74,187,SO,Rancho Santa Margarita,CA,Michigan,2.84,2,4,302406637,Sociology
Ambry Thomas,73,179,FR,Detroit,MI,Michigan,2.22,11,4,613636043,Labor Studies
Carlo Kemp,75,264,SO,Boulder,CO,Michigan,3.24,10,5,529297503,Exercise Science
Oliver Martin,73,198,FR,Coralville,IA,Michigan,2.64,4,7,663256558,Psychology
Rashan Gary,77,281,SO,Plainfield,NJ,Michigan,3.71,7,3,297385224,Political Science
Quinn Nordin,73,195,SO,Rockford,MI,Michigan,4,8,0,158047969,Finance
Brad Robbins,74,181,FR,Westerville,OH,Michigan,3.13,1,0,838676048,Psychology
Wilton Speight,78,240,SR,Richmond,VA,Michigan,3.36,6,3,359415783,Political Science
Nico Collins,76,206,FR,Birmingham,AL,Michigan,2.67,7,5,853522644,Mechanical Engineering
Reuben Jones,76,245,JR,Lakeland,FL,Michigan,3.36,4,1,550363745,Economics
Aubrey Solomon,75,297,FR,Leesburg,GA,Michigan,2.97,10,4,660522855,Sports Management
Kurt Taylor,68,194,FR,Covington,GA,Michigan,3.82,8,7,864766649,Economics
Drake Harris,76,188,SR,Grand Rapids,MI,Michigan,2.42,0,7,529286995,Communication
Michael Sessa,80,210,SO,Hinsdale,IL,Michigan,2.88,7,7,313570998,History
Ryan Tice,73,172,JR,Saline,MI,Michigan,2.57,16,0,973801995,Mechanical Engineering
Kareem Walker,73,211,SO,Irvington,NJ,Michigan,2.35,13,11,949696573,Labor Studies
Tarik Black,75,206,FR,Hamden,CT,Michigan,3.05,6,6,785547950,Chemical Engineering
Khaleke Hudson,73,205,SO,Mckeesport,PA,Michigan,3.5,6,3,589597631,Sports Management
John O'Korn,76,211,SR,Fort Lauderdale,FL,Michigan,2.65,16,4,417943043,Communication
Drew Singleton,74,219,FR,Union City,NJ,Michigan,2.87,5,11,221258575,Economics
Mike McCray,76,242,SR,Trotwood,OH,Michigan,2.93,7,11,779567862,Sports Management
Donovan Peoples-Jones,74,199,FR,Southfield,MI,Michigan,2.6,5,5,676617698,Economics
Devin Bush,71,222,SO,Pembroke Pines,FL,Michigan,2.36,9,11,975736031,Exercise Science
Dylan McCaffrey,77,199,FR,Castle Rock,CO,Michigan,2.59,6,2,357185246,Mechanical Engineering
Chris Evans,71,206,SO,Indianapolis,IN,Michigan,2.78,15,9,553961911,Sports Management
Josh Ross,74,229,FR,Southfield,MI,Michigan,2.65,12,13,207582588,Chemical Engineering
Eddie McDoom,73,181,SO,Winter Garden,FL,Michigan,2.41,13,9,406640692,Sports Management
Josh Metellus,73,199,SO,Pembroke Pines,FL,Michigan,2.55,0,6,176671565,Sociology
Alex Malzone,74,228,JR,Farmington Hills,MI,Michigan,2.51,5,4,260605333,Labor Studies
Garrett Moores,77,214,SR,Northville,MI,Michigan,3.18,0,5,6559232,Business
Chase Winovich,75,253,SR,Jefferson Hills,PA,Michigan,2.53,13,6,111069103,Economics
Jaylen Kelly-Powell,73,173,FR,Detroit,MI,Michigan,2.88,5,6,212878786,Political Science
Jack Wangler,73,202,SR,Royal Oak,MI,Michigan,3.45,0,7,928652960,Labor Studies
Will Hart,75,196,SO,Hunting Valley,OH,Michigan,3.95,0,0,579884812,ITI
Tyrone Wheatley,78,265,JR,Buffalo,NY,Michigan,2.78,0,5,981711072,Economics
Brandon Peters,77,220,SO,Avon,IN,Michigan,3.38,4,1,453470599,Sports Management
Luiji Vilain,76,242,FR,Ottawa,ON,Michigan,3.21,12,3,280360067,Exercise Science
Kwity Paye,76,241,FR,Providence,RI,Michigan,2.11,7,5,428127129,Sports Management
Henry Poggi,76,244,SR,Baltimore,MD,Michigan,2.72,8,12,69512390,Music
Brad Hawkins,74,204,FR,Pennsauken,NJ,Michigan,3.44,12,3,848010983,Exercise Science
Matt Mitchell,70,185,SR,Dexter,MI,Michigan,2.81,6,7,734686400,Political Science
Tru Wilson,70,200,SO,Warren,MI,Michigan,3,0,9,191882125,Labor Studies
Karan Higdon,70,190,JR,Sarasota,FL,Michigan,2.66,16,9,80349021,Communication
David Long,71,187,SO,Los Angeles,CA,Michigan,2.68,4,6,180819428,Chemical Engineering
Jared Davis,73,180,FR,--,--,Michigan,3.28,4,3,215766757,ITI
Tyree Kinnel,71,201,JR,Huber Heights,OH,Michigan,2.84,10,3,438977351,Industrial Engineering
O'Maury Samuels,70,192,FR,Los Lunas,NM,Michigan,1.66,9,11,921519762,Labor Studies
Lavert Hill,71,177,SO,Detroit,MI,Michigan,3.16,15,5,188649308,Sports Management
Jake Martin,71,191,SO,Grand Rapids,MI,Michigan,2.79,0,3,153860924,Gender Studies
Benjamin St-Juste,75,193,FR,Laval,PQ,Michigan,2.79,7,6,1995805,History
J'Marick Woods,75,203,FR,Florence,AL,Michigan,3.26,4,4,434755443,Labor Studies
Joe Hewlett,73,196,SR,Novi,MI,Michigan,2.39,7,9,522673573,Political Science
Hunter Reynolds,73,188,FR,Wallingford,CT,Michigan,3.45,5,5,701013552,Communication
Austin Brenner,74,189,SR,Saline,MI,Michigan,2.96,9,9,964728702,Communication
Brandon Watson,71,200,SR,Wilmington,DE,Michigan,3.24,5,4,310464582,Geography
Jordan Glasgow,73,210,JR,Aurora,IL,Michigan,2.86,0,3,499806367,Industrial Engineering
Brendan White,73,194,JR,Scottsdale,AZ,Michigan,3.11,11,3,982393380,Communication
Joe Beneducci,69,229,SR,Far Hills,NJ,Michigan,2.72,7,11,90240668,Economics
Tyler Cochran,73,194,SO,Royal Oak,MI,Michigan,3.2,8,2,605403377,Exercise Science
James Foug,71,178,SR,Palo Alto,CA,Michigan,3.27,0,0,972243873,Political Science
Phillip Paea,76,275,FR,Berrien Springs,MI,Michigan,2.77,5,3,423177628,Economics
Louis Grodman,71,188,JR,Commerce Township,MI,Michigan,1.85,5,6,666189558,Exercise Science
Ty Isaac,75,228,SR,Joliet,IL,Michigan,2.87,4,9,155423504,Computer Science
Camaron Cheeseman,76,239,SO,New Albany,OH,Michigan,3.06,13,2,583141544,Biology
Jordan Anthony,73,236,FR,Silver Spring,MD,Michigan,2.12,3,11,333198148,Chemical Engineering
Kenneth Ferris,77,237,SO,Fowlerville,MI,Michigan,3.84,8,6,547350473,Computer Engineering
Brian Chu,70,223,JR,--,--,Michigan,2.63,0,12,694399699,Economics
Josh Uche,75,226,SO,Miami,FL,Michigan,2.77,1,10,454944601,Music
Devin Gil,74,220,SO,Pembroke Pines,FL,Michigan,2.55,3,11,991161148,Economics
Dane Drobocky,75,234,SO,Bowling Green,KY,Michigan,3.68,12,2,28802572,Civil Engineering
Bradford Jones,75,237,SR,Bloomfield Hills,MI,Michigan,2.17,14,5,392202652,Geography
Joseph Files,76,247,JR,Lake Orion,MI,Michigan,2.44,10,9,606938035,Business
Jared Wangler,74,240,SR,Royal Oak,MI,Michigan,2.83,8,9,916254675,Mechanical Engineering
Evan Latham,74,191,FR,Dearborn,MI,Michigan,2.64,3,5,498856787,Exercise Science
Kyle Seychel,74,174,SR,Brighton,MI,Michigan,3.92,0,0,799685335,Creative Writing
Nick Volk,71,257,SR,Frankenmuth,MI,Michigan,2.31,9,13,663248365,Sports Management
Adam Fakih,74,210,FR,Beverly Hills,MI,Michigan,2.46,11,15,449570159,Criminal Justice
Jacob West,73,205,JR,Pinckney,MI,Michigan,2.67,0,7,162747033,Labor Studies
Ben Mason,75,251,FR,Newtown,CT,Michigan,2.43,0,10,734737693,Psychology
Eric Kim,74,205,SO,Mercer Island,WA,Michigan,3.26,5,4,966938652,Exercise Science
Jake McCurry,73,180,FR,Solon,OH,Michigan,2.39,7,7,212699863,Labor Studies
Matt Baldeck,73,210,FR,Lewiston,ID,Michigan,3.71,9,2,55090224,History
Jared Char,70,192,SO,Farmington Hills,MI,Michigan,1.97,0,8,379690670,Exercise Science
Deron Irving-Bey,77,274,FR,Flint,MI,Michigan,3.77,14,7,400313996,Labor Studies
Peter Bush,74,225,SO,Newport Beach,CA,Michigan,2.18,7,11,343598514,Exercise Science
Adam Shibley,73,225,FR,Cleveland,OH,Michigan,2.18,8,13,724858887,Civil Engineering
Matt Brown,73,220,FR,Solon,OH,Michigan,2.61,3,11,920883830,Labor Studies
Chris Hanlon,75,220,FR,Naples,FL,Michigan,1.94,7,10,482174105,Creative Writing
Michael Wroblewski,74,237,SR,Saint Clair Shores,MI,Michigan,1.63,16,13,671929638,Exercise Science
Tyler Plocki,73,219,FR,--,--,Michigan,1.66,1,15,178740621,Criminal Justice
Andrew Robinson,73,221,SR,Troy,MI,Michigan,3.25,2,2,969658141,Computer Engineering
Michael Dwumfour,74,290,SO,Wayne,NJ,Michigan,4,11,3,815375392,Sports Management
Michael Onwenu,75,350,SO,Detroit,MI,Michigan,3.74,5,2,715482422,Labor Studies
Cesar Ruiz,76,316,FR,Pennsauken,NJ,Michigan,2.73,2,3,682700139,Exercise Science
Mason Cole,77,297,SR,Tarpon Springs,FL,Michigan,3.3,6,2,728429478,ITI
Elysee Mbem-Bosse,75,232,SO,Ellenwood,GA,Michigan,1.65,3,13,928655453,Political Science
Carl Myers,75,276,SO,Grand Rapids,MI,Michigan,3.06,3,3,937778397,Sports Management
James Hudson,77,302,FR,Toledo,OH,Michigan,3.79,13,0,363138409,Communication
Jameson Offerdahl,74,218,JR,Fort Lauderdale,FL,Michigan,1.65,6,13,943418932,Sports Management
Patrick Kugler,77,296,SR,Wexford,PA,Michigan,2.78,5,6,443004615,Labor Studies
Alex Kaminski,71,226,SR,Ada,MI,Michigan,2.5,7,11,755648112,Business
Noah Furbush,77,240,SR,Kenton,OH,Michigan,1.89,2,13,742127619,Communication
Joel Honigford,78,275,FR,Sugarcreek,OH,Michigan,2.08,3,4,116385608,Civil Engineering
Dan Jokisch,76,251,SO,Clarkston,MI,Michigan,3.87,0,0,509985119,Exercise Science
Sean Fitzgerald,75,311,FR,Mount Pleasant,MI,Michigan,3.08,7,1,936440717,Sociology
Chuck Filiaga,78,345,FR,Aledo,TX,Michigan,3.1,9,3,600092413,Exercise Science
Jess Speight,76,289,FR,Richmond,VA,Michigan,3.02,11,2,161193578,Computer Engineering
Andrew Vastardis,75,311,SO,Ashburn,VA,Michigan,3.43,14,1,349681334,Electrical Engineering
Nolan Ulizio,77,295,JR,West Chester,OH,Michigan,3.87,7,2,716113933,Exercise Science
Andrew Stueber,79,314,FR,Darien,CT,Michigan,3.23,4,1,463689836,Computer Science
Stephen Spanellis,77,307,SO,Baltimore,MD,Michigan,2.78,12,1,300271468,Criminology
Ja'Raymond Hall,77,282,FR,Detroit,MI,Michigan,3.52,1,1,591361978,Economics
Maurice Hurst,74,280,SR,Westwood,MA,Michigan,2.68,10,10,555270855,Sports Management
Ben Bredeson,77,308,SO,Hartland,WI,Michigan,3.01,0,1,792495942,Communication
Jon Runyan,76,298,JR,Moorestown,NJ,Michigan,3.01,7,2,703640008,Sports Management
Juwann Bushell-Beatty,78,315,SR,Paramus,NJ,Michigan,3.79,7,0,321926866,Sports Management
Grant Newsome,79,314,JR,Mclean,VA,Michigan,4,11,1,209081873,Communication
Greg Robinson,78,288,SO,Hudson,OH,Michigan,3.8,7,0,670969706,Exercise Science
Khalid Hill,74,265,SR,Detroit,MI,Michigan,2.59,0,11,795200606,Criminal Justice
Nate Schoenle,74,192,SO,Plymouth,MI,Michigan,2.81,7,8,321802798,Geography
Nick Eubanks,77,240,SO,Plantation,FL,Michigan,3.18,22,6,38622981,Business
Carter Selzer,80,222,FR,Kansas City,MO,Michigan,3.67,0,8,248530959,Computer Science
Zach Gentry,79,248,JR,Albuquerque,NM,Michigan,2.88,6,4,6600480,Business
Sean McKeon,77,248,SO,Dudley,MA,Michigan,2.79,3,9,532668864,English 
Maurice Ways,75,215,SR,Beverly Hills,MI,Michigan,2.36,4,8,789805564,Psychology
Conner Edmonds,77,252,SO,Richfield,WI,Michigan,2.74,9,6,568861673,Chemical Engineering
Jack Dunaway,74,241,JR,Bloomfield Hills,MI,Michigan,3.42,12,13,460121405,Animal Science
Grant Perry,73,191,JR,Bloomfield Hills,MI,Michigan,2.59,6,3,38177071,Creative Writing
Ian Bunting,79,252,SR,Hinsdale,IL,Michigan,3.56,6,5,525427124,Economics
Bryan Mone,76,325,SR,Salt Lake City,UT,Michigan,2.73,1,5,122862934,Mechanical Engineering
Cheyenn Robertson,75,228,JR,Union City,NJ,Michigan,2.4,17,14,364184231,Exercise Science
Lawrence Marshall,76,285,SR,Southfield,MI,Michigan,2.9,11,8,344156975,Economics
Donovan Jeter,75,288,FR,Beaver Falls,PA,Michigan,3.32,11,8,642467431,Industrial Engineering
Ron Johnson,76,264,SO,Camden,NJ,Michigan,3.23,7,5,330585038,Music
John Luby,78,241,JR,Lake Orion,MI,Michigan,2.48,8,3,148852528,Sports Management
Justin Layne,75,180,SO,Cleveland,OH,Michigan State,2.77,0,3,932503712,Animal Science
LJ Scott,73,229,JR,Hubbard,OH,Michigan State,2.81,1,9,792051069,Economics
Matt Coghlin,69,188,FR,Cincinnati,OH,Michigan State,2.72,0,0,18720070,Exercise Science
C.J. Hayes,73,202,FR,Bowling Green,KY,Michigan State,3.76,1,5,149721707,Communication
Andrew Dowell,73,222,JR,North Ridgeville,OH,Michigan State,2.52,0,12,336271501,History
Hunter Rison,71,200,FR,Ann Arbor,MI,Michigan State,2.04,1,9,954425693,Animal Science
David Dowell,73,191,SO,North Ridgeville,OH,Michigan State,3.35,0,3,994220917,Economics
Damion Terry,76,220,SR,Erie,PA,Michigan State,3.63,1,3,413133657,Sports Management
Cody White,75,206,FR,Novi,MI,Michigan State,2.66,0,5,297411935,ITI
Lashawn Paulino-Bell,75,227,FR,Tamarac,FL,Michigan State,2.75,0,8,485625252,Economics
Brett Scanlon,71,210,SR,Dowagiac,MI,Michigan State,3.62,0,0,517873783,Exercise Science
Dominique Long,74,185,FR,Westerville,OH,Michigan State,2.31,0,6,616136098,Labor Studies
